受注入力(Hub) が必要とする FileMaker 受注データの列
生成元: tools/fm-juchu.html の FMUSE
列数: 262

no	f-no
インキ表1	f-ink,k1-ink
インキ表2	k2-ink
インキ表3	k3-ink
インキ表4	k4-ink
インキ表5	k5-ink
インキ表6	k6-ink
インキ表7	k7-ink
インキ表8	k8-ink
インキ表9	k9-ink
インキ裏1	k1-ura
インキ裏2	k2-ura
インキ裏3	k3-ura
インキ裏4	k4-ura
インキ裏5	k5-ura
インキ裏6	k6-ura
インキ裏7	k7-ura
インキ裏8	k8-ura
インキ裏9	k9-ura
カートン	d-cartn
カートン型式	d-cart
サイズ1	p1-sz
サイズ2	p2-sz
サイズ3	p3-sz
サイズ4	p4-sz
サイズ5	p5-sz
サイズ6	p6-sz
サイズ7	p7-sz
サイズ8	p8-sz
サイズ9	p9-sz
サイズ横	f-w
サイズ縦	f-h
ナンバー自	b-numdai
ナンバー至	b-numto
パーツ数	f-parts
ファイル穴1	w1-fil
ファイル穴2	w2-fil
ファイル穴3	w3-fil
ファイル穴4	w4-fil
ファイル穴5	w5-fil
ファイル穴6	w6-fil
ファイル穴7	w7-fil
ファイル穴8	w8-fil
ファイル穴9	w9-fil
マージナルパンチa1	w1-kpn
マージナルパンチa2	w2-kpn
マージナルパンチa3	w3-kpn
マージナルパンチa4	w4-kpn
マージナルパンチa5	w5-kpn
マージナルパンチa6	w6-kpn
マージナルパンチa7	w7-kpn
マージナルパンチa8	w8-kpn
マージナルパンチa9	w9-kpn
メーカー1	p1-mk
メーカー2	p2-mk
メーカー3	p3-mk
メーカー4	p4-mk
メーカー5	p5-mk
メーカー6	p6-mk
メーカー7	p7-mk
メーカー8	p8-mk
メーカー9	p9-mk
ユーザー名	f-user
ロットセット数	f-lotset
ロット区分	f-lotkind
ロット契約単位	f-lotunit
中間横ミシン1	w1-tm1
中間横ミシン2	w2-tm1
中間横ミシン3	w3-tm1
中間横ミシン4	w4-tm1
中間横ミシン5	w5-tm1
中間横ミシン6	w6-tm1
中間横ミシン7	w7-tm1
中間横ミシン8	w8-tm1
中間横ミシン9	w9-tm1
人件費	c-labor
仕様変更	f-specchg
伝票番号	f-denpyo
備考	f-memo
備考1	k1-bk,w1-bk
備考2	k2-bk,w2-bk
備考3	k3-bk,w3-bk
備考4	k4-bk,w4-bk
備考5	k5-bk,w5-bk
備考6	k6-bk,w6-bk
備考7	k7-bk,w7-bk
備考8	k8-bk,w8-bk
備考9	k9-bk,w9-bk
共通製品コード	f-commcd
内装備考	b-inbox
切数1	f-kiri,p1-ki
切数2	p2-ki
切数3	p3-ki
切数4	p4-ki
切数5	p5-ki
切数6	p6-ki
切数7	p7-ki
切数8	p8-ki
切数9	p9-ki
前回伝票番号	f-lotno
前回起票日	f-prevdate
加工賃	c-work
単位	f-unit
印刷代	c-print
印刷代1	k1-pc
印刷代2	k2-pc
印刷代3	k3-pc
印刷代4	k4-pc
印刷代5	k5-pc
印刷代6	k6-pc
印刷代7	k7-pc
印刷代8	k8-pc
印刷代9	k9-pc
合計数1	p1-tot
合計数2	p2-tot
合計数3	p3-tot
合計数4	p4-tot
合計数5	p5-tot
合計数6	p6-tot
合計数7	p7-tot
合計数8	p8-tot
合計数9	p9-tot
合計金額	c-total
品名1	p1-nm
品名2	p2-nm
品名3	p3-nm
品名4	p4-nm
品名5	p5-nm
品名6	p6-nm
品名7	p7-nm
品名8	p8-nm
品名9	p9-nm
品種	f-hinshu2
売価単価	f-price
売価金額	f-amt
実用数1	p1-jit
実用数2	p2-jit
実用数3	p3-jit
実用数4	p4-jit
実用数5	p5-jit
実用数6	p6-jit
実用数7	p7-jit
実用数8	p8-jit
実用数9	p9-jit
得意先コード	f-custcd
担当者コード	f-tantocd
梱包代	c-pack
標準予備数_加減算済1	p1-yob
標準予備数_加減算済2	p2-yob
標準予備数_加減算済3	p3-yob
標準予備数_加減算済4	p4-yob
